Code,obesity_pre_teen
E02000153,0.10932475884244373
E02000154,0.11224489795918367
E02000155,0.18888888888888888
E02000156,0.13387978142076504
E02000157,0.13309352517985612
E02000158,0.20973782771535582
E02000159,0.18719211822660098
E02000160,0.10526315789473684
E02000161,0.11231884057971014
E02000162,0.18095238095238095
E02000163,0.12217194570135746
E02000165,0.13191489361702127
E02006782,0.17167381974248927
E02006787,0.1509433962264151
E02006789,0.1437125748502994
E02000166,0.1524390243902439
E02000167,s
E02000168,0.14035087719298245
E02000169,s
E02000170,0.1262135922330097
E02000171,0.19594594594594594
E02000172,0.258160237388724
E02000173,s
E02000174,0.19658119658119658
E02000175,0.18110236220472442
E02000176,s
E02000177,0.2529182879377432
E02000178,0.2485207100591716
E02000179,0.18181818181818182
E02000180,0.20930232558139536
E02000181,0.2087912087912088
E02000182,0.20588235294117646
E02000183,0.12605042016806722
E02000184,0.24
E02000185,0.22088353413654618
E02000186,0.11764705882352941
E02000187,0.25396825396825395
E02000188,0.2900763358778626
E02000189,0.23333333333333334
E02000190,0.21739130434782608
E02000191,s
E02000192,0.23595505617977527
E02000193,0.2878787878787879
E02000194,0.22459893048128343
E02000195,0.19591836734693877
E02000196,0.28110599078341014
E02000197,0.2152777777777778
E02000198,0.2953020134228188
E02000199,0.27755102040816326
E02000200,0.25092250922509224
E02000201,0.22658610271903323
E02000202,0.237012987012987
E02000203,0.27927927927927926
E02000204,0.2724358974358974
E02000206,0.26153846153846155
E02000207,0.27007299270072993
E02000208,0.23511904761904762
E02000209,0.22562674094707522
E02000210,0.22692307692307692
E02000211,0.14948453608247422
E02000212,0.2782874617737003
E02000213,0.2656826568265683
E02000214,0.17543859649122806
E02000215,0.2147239263803681
E02000216,0.211864406779661
E02000217,0.2209737827715356
E02000218,0.23529411764705882
E02000219,0.21518987341772153
E02000220,0.22
E02000221,0.20597014925373133
E02000222,0.16326530612244897
E02000223,0.23694779116465864
E02000224,0.2122905027932961
E02000225,0.27155172413793105
E02000226,0.17880794701986755
E02000227,0.1540785498489426
E02000228,0.14444444444444443
E02000229,0.2926829268292683
E02000230,0.14468085106382977
E02000231,0.16352201257861634
E02000232,0.12626262626262627
E02000233,0.09523809523809523
E02000234,0.21982758620689655
E02000235,0.15706806282722513
E02000236,0.2054263565891473
E02000237,0.16355140186915887
E02006788,0.23397435897435898
E02000238,0.2471590909090909
E02000239,0.2620689655172414
E02000240,0.2494172494172494
E02000241,0.26842105263157895
E02000242,0.26609442060085836
E02000243,0.21071428571428572
E02000244,0.22727272727272727
E02000245,0.23322683706070288
E02000246,0.20498614958448755
E02000247,0.25252525252525254
E02000248,0.22929936305732485
E02000249,0.21739130434782608
E02000250,0.10909090909090909
E02000251,0.256140350877193
E02000252,0.23478260869565218
E02000253,0.21683673469387754
E02000254,0.2323529411764706
E02000255,0.17985611510791366
E02000256,0.16083916083916083
E02000257,0.1590909090909091
E02000258,0.16981132075471697
E02000259,0.1791044776119403
E02000260,0.21554770318021202
E02000261,0.2751677852348993
E02000262,0.20535714285714285
E02000263,0.23958333333333334
E02000264,0.2564102564102564
E02000265,0.26804123711340205
E02000266,0.23115577889447236
E02000267,0.233502538071066
E02000268,0.18562874251497005
E02000269,0.10734463276836158
E02000270,0.27335640138408307
E02000271,0.13846153846153847
E02000272,0.11764705882352941
E02000274,0.2438095238095238
E02000275,0.228310502283105
E02000276,0.16417910447761194
E02006791,0.20353982300884957
E02000277,0.26422764227642276
E02000278,0.26334519572953735
E02000279,0.2647058823529412
E02000280,0.22761194029850745
E02000281,0.2491103202846975
E02000282,0.28083989501312334
E02000283,0.27371273712737126
E02000284,0.22072072072072071
E02000285,0.20100502512562815
E02000286,0.147239263803681
E02000287,0.22608695652173913
E02000288,0.24153498871331827
E02000289,0.20574162679425836
E02000290,0.3118279569892473
E02000291,0.2554112554112554
E02000292,0.23666666666666666
E02000293,0.13836477987421383
E02000294,0.2519893899204244
E02000295,0.18723404255319148
E02000296,0.1832797427652733
E02000297,0.17410714285714285
E02000298,0.14634146341463414
E02000299,0.24641148325358853
E02000300,0.24752475247524752
E02000301,0.27539503386004516
E02000302,0.2608695652173913
E02000303,0.2845744680851064
E02000304,0.165
E02000305,0.1658291457286432
E02000306,0.3161764705882353
E02000307,0.25824175824175827
E02000308,0.21621621621621623
E02000309,0.25552825552825553
E02000311,0.2768729641693811
E02000312,0.21266968325791855
E02006793,0.3323442136498516
E02000313,0.2689393939393939
E02000314,0.2984014209591474
E02000315,0.28921568627450983
E02000316,0.2229965156794425
E02000317,0.2577639751552795
E02000318,0.24251497005988024
E02000319,0.24271844660194175
E02000320,0.28512396694214875
E02000321,0.252
E02000323,0.2654639175257732
E02000324,0.29365079365079366
E02000326,0.22023809523809523
E02000327,0.265625
E02000328,0.1926605504587156
E02000329,0.24083769633507854
E02000331,0.25
E02000332,0.21359223300970873
E02000333,0.2608695652173913
E02000334,0.23115577889447236
E02000335,0.17553191489361702
E02000337,0.22924901185770752
E02000339,0.1437125748502994
E02000340,0.22033898305084745
E02000341,0.2668918918918919
E02000342,0.2597402597402597
E02000343,0.2
E02000344,0.23863636363636365
E02006786,0.26640926640926643
E02006927,0.2421875
E02006928,0.24113475177304963
E02006929,0.22
E02006930,0.18787878787878787
E02006931,0.25980392156862747
E02000345,0.22608695652173913
E02000346,0.3520408163265306
E02000347,0.22549019607843138
E02000348,0.28313253012048195
E02000350,0.20430107526881722
E02000351,0.2653061224489796
E02000352,0.22758620689655173
E02000353,0.20212765957446807
E02000354,0.25773195876288657
E02000355,0.16990291262135923
E02000356,0.11707317073170732
E02000357,0.2805755395683453
E02000358,0.27547169811320754
E02000359,0.22119815668202766
E02000360,0.2849604221635884
E02000361,0.2787878787878788
E02000362,0.3037383177570093
E02000363,0.26597938144329897
E02000364,0.1992619926199262
E02000365,0.2594594594594595
E02000366,0.26778242677824265
E02000367,0.28512396694214875
E02000368,0.2618296529968454
E02000369,0.32068965517241377
E02000370,0.24017467248908297
E02000371,0.31932773109243695
E02006918,0.25396825396825395
E02006921,0.27586206896551724
E02000372,0.21843003412969283
E02000373,0.26785714285714285
E02000374,0.3076923076923077
E02000375,0.26
E02000376,0.2948717948717949
E02000377,0.20118343195266272
E02000378,0.1919191919191919
E02000379,0.17567567567567569
E02000380,0.205607476635514
E02000381,0.22340425531914893
E02000382,0.16153846153846155
E02000383,0.3125
E02000384,0.22162162162162163
E02000385,0.18518518518518517
E02000386,0.2608695652173913
E02000387,0.2248062015503876
E02000388,0.19101123595505617
E02000389,0.14444444444444443
E02000390,0.22105263157894736
E02000391,0.25757575757575757
E02000392,0.2571428571428571
E02000393,s
E02000394,0.2781456953642384
E02000395,s
E02000396,0.2619047619047619
E02000397,0.21637426900584794
E02000398,0.26811594202898553
E02000400,0.20920502092050208
E02000401,0.2527881040892193
E02000402,0.2852112676056338
E02000403,0.22580645161290322
E02000404,0.24
E02000405,0.09844559585492228
E02000406,0.3485714285714286
E02000407,0.28512396694214875
E02000408,0.28040540540540543
E02000409,0.29596412556053814
E02000410,0.07142857142857142
E02000411,0.2958199356913183
E02000412,0.271523178807947
E02000413,0.10526315789473684
E02000414,0.24056603773584906
E02000415,0.2229299363057325
E02000416,0.19230769230769232
E02000417,0.08461538461538462
E02000418,0.1366906474820144
E02000419,0.19852941176470587
E02000420,0.3128491620111732
E02000421,0.2616822429906542
E02000422,0.2803347280334728
E02000423,0.2653061224489796
E02000424,0.11764705882352941
E02000425,0.2366412213740458
E02000426,0.14432989690721648
E02000427,0.2978723404255319
E02000428,0.33183856502242154
E02000429,0.08
E02000430,0.1328125
E02000431,0.13043478260869565
E02000432,0.2421875
E02006794,0.3402777777777778
E02000433,0.13675213675213677
E02000434,0.20812182741116753
E02000435,0.17766497461928935
E02000436,0.21238938053097345
E02000437,0.18222222222222223
E02000438,0.24509803921568626
E02000439,0.22380952380952382
E02000440,0.1694915254237288
E02000441,0.14
E02000442,0.22992700729927007
E02000443,0.23026315789473684
E02000444,0.18532818532818532
E02000445,0.26582278481012656
E02000447,0.19428571428571428
E02000448,0.1527777777777778
E02000449,0.22641509433962265
E02000451,0.15384615384615385
E02000452,0.17391304347826086
E02000453,0.20526315789473684
E02000454,0.13333333333333333
