Code,no_car_in_household,Msoa_name,lone_parent_unemployed,families_with_3plus_kids,health_life_expectancy_at_birth,child_poverty,overcrowded_houses,self_harm_hospital_admission,AvPTAI2015,supermarket,fast_food,population_cannot_speak_english,Limiting_long-term_illness_disability,hospital_admission_associated_with_alcohol,regular_smoking_at15,non_white_ethnic_group,net weekly income,education_no qualifications,general health age 50-64,work_49hr_more,samhi_index.2011
E02000052,1587,Barnet 029,46.8,13.83075523,65.49568,10.7,18.4,26.2,631.947001814882,1,2,2.9,12.9,68.4,3.3,26.6,1065,11.7,3.949267890286657,953,-1.424450411687009
E02000053,1168,Barnet 030,51.5,17.45235707,62.009875,18.7,38.0,34.9,221.92188269794724,1,0,7.4,11.4,77.1,1.5,59.0,835,15.5,4.096969696969697,501,-1.806712053795386
E02000054,744,Barnet 031,47.2,18.33333333,65.528245,13.7,24.6,46.5,344.3206380090498,0,0,5.5,12.1,77.9,2.7,46.0,1000,11.8,3.7909407665505226,560,-1.7018667139897123
E02000055,1572,Barnet 032,37.9,23.22193659,63.32619,10.1,26.5,41,236.7459027932961,4,10,4.9,13.2,77.9,2.3,38.1,900,14.0,4.094372532819242,824,-1.2104795575836722
E02000056,587,Barnet 033,41.4,26.13240418,72.99644,4.1,7.9,40.5,299.370136627907,0,0,1.7,11.1,45.4,4.1,20.3,1295,9.0,2.6985180269851803,1057,-1.6829170872003016
E02000057,696,Barnet 034,39.2,35.9462486,67.32139,7.1,19.1,32.7,326.6122046511628,0,0,4.6,11.7,80.7,3.3,29.6,1070,13.7,3.5498184751916093,510,-1.7792349291421463
E02000058,1110,Barnet 035,44.1,25.25083612,69.574085,6.8,15.8,61,771.5347873015872,2,0,2.6,11.3,62.8,3.9,23.2,1190,9.6,3.0166060725164585,956,-1.8553202285145676
E02000059,1554,Barnet 036,45.9,18.0620155,59.35848,14.2,31.6,36.5,376.0300202622169,1,0,8.0,15.4,93.0,1.5,57.8,740,19.9,5.736448956138671,571,-1.4129952058393562
E02000060,1164,Barnet 037,54.5,47.58394758,66.034185,5.9,20.6,57.2,169.6994358108108,0,0,3.6,12.7,81.9,3.6,27.4,1040,14.7,3.4976152623211445,686,-1.814745603511345
E02000061,1161,Barnet 038,39.8,21.15621156,69.5539,6.6,24.5,28.6,169.73194082840237,3,1,3.6,11.9,46.7,3.4,33.7,1185,9.3,2.7936507936507935,849,-1.6971314477680437
E02000062,1096,Barnet 039,54.1,21.97149644,61.342425,23.9,30.7,64.9,136.82452777777775,5,8,7.5,14.3,88.0,1.5,50.6,815,21.1,5.744208187876865,335,-1.6477592272732655
E02000063,854,Barnet 040,53.8,22.78911565,63.429055,18.5,21.3,28.4,189.33876705141657,0,0,8.0,14.0,88.5,1.9,47.7,920,16.7,4.443799012489108,447,-1.1072428128258764
E02000064,1145,Barnet 041,54.7,18.15754339,62.37175,23.6,26.7,46.4,124.61297326203209,0,1,5.1,15.1,95.4,2.3,39.1,850,16.6,6.050531914893617,478,-1.6681903548044426
E02000065,989,Bexley 001,44.5,22.79469165,65.00965,21.3,19.2,24.1,404.875784,0,0,2.4,10.3,104.8,2.6,56.7,855,17.6,3.7245164662833243,312,-1.7219451134537456
E02000066,1633,Bexley 002,47.8,20.9902371,58.69261,26.7,17.9,35.7,673.3311823529413,0,0,3.7,15.8,97.8,2.3,47.1,690,24.9,5.927700802166893,404,-1.7020722257242336
E02000067,1125,Bexley 003,45.1,17.1969697,62.223485,24.5,14.1,42.3,632.1146161616161,3,0,2.5,15.4,114.7,3,30.4,745,23.6,5.367975277555225,455,-1.9469040230741204
E02000068,1098,Bexley 004,56.2,19.25087108,61.40566,28.0,17.2,107.7,187.7474117647059,1,0,2.2,14.1,119.4,2.6,34.7,740,22.5,4.994585814834868,383,-1.8836827496876705
E02000069,624,Bexley 005,45.1,19.76744186,63.00646,20.2,10.0,51.3,504.2225838926175,0,0,1.7,18.7,113.4,3.2,25.6,790,25.0,5.6640625,327,-1.6397905867679683
E02000070,645,Bexley 006,30.9,16.08606557,63.741905,13.5,5.3,24.5,475.7339814814815,0,0,1.1,17.7,86.0,5.7,17.6,870,23.9,4.977777777777778,440,-1.84094674595578
E02000071,589,Bexley 007,41.1,17.10654936,62.93315,19.7,6.6,38,372.2462113821138,1,0,1.3,15.7,105.3,5,15.1,870,23.6,4.410958904109589,424,-1.6380687269000176
E02000072,1853,Bexley 008,56.1,20.36474164,57.799435,26.6,17.8,92.2,296.0613617886179,1,0,1.1,16.1,115.5,2.8,28.7,685,28.3,5.475012792085963,488,-1.6163077972954636
E02000073,629,Bexley 009,30.1,17.18972896,67.042085,8.5,3.4,31.9,369.3172209944751,0,0,1.1,15.1,81.7,5.6,16.2,950,21.9,4.270794479671764,575,-1.6582117042819595
E02000074,1000,Bexley 010,50.8,16.63516068,60.720915,28.6,9.9,126.3,401.293320754717,0,0,0.9,19.4,113.0,2.7,17.9,705,30.2,6.4439455961970165,348,-1.0314298153658836
E02000075,544,Bexley 011,37.9,12.06521739,67.02508,8.2,3.2,19.7,445.59420731707314,0,0,0.6,16.8,74.1,5.9,11.6,930,22.8,4.646464646464646,482,-1.6495298082099696
E02000077,563,Bexley 013,28.0,16.95736434,64.195575,11.0,5.4,29.5,326.600102739726,1,0,1.2,15.8,83.8,4.8,17.1,875,24.9,4.471649484536083,413,-1.5395718085847536
E02000078,462,Bexley 014,34.4,13.71134021,67.00427,10.3,4.3,36.1,464.2792763157895,1,0,0.6,14.0,86.1,6.4,9.4,960,19.3,4.096542726679713,442,-1.542617555794136
E02000079,824,Bexley 015,30.3,14.16490486,66.575395,13.6,5.8,27,152.5120361930295,5,2,1.0,17.7,83.0,5.6,13.4,905,21.1,4.265525735770777,506,-1.0391482555903775
