Code,Msoa_name,education_no qualifications,lone_parent_unemployed,work_49hr_more,families_with_3plus_kids,child_poverty,overcrowded_houses,limiting_long-term_illness_disability,self_harm_hospital_admission,hospital_admission_associated_with_alcohol,samhi_index.2011,population_cannot_speak_english
E02000096,Brent 004,15.3,32.1,567,14.65201465,7.6,12.2,14.8,28.2,88.5,-2.092863477436377,5.4
E02000097,Brent 005,20.9,43.2,448,23.31233123,12.3,19.9,14.8,42.8,108.2,-2.150710163461716,8.4
E02000098,Brent 006,17.0,38.3,474,21.20253165,14.9,20.4,14.5,26.3,102.5,-1.573438818759938,7.0
E02000099,Brent 007,16.8,41.5,485,20.63628547,15.7,27.6,12.7,15.2,88.4,-2.225028224746544,8.1
E02000100,Brent 008,11.5,28.9,564,18.91891892,8.4,23.0,12.3,21.1,106.5,-2.273763749063725,4.1
E02000101,Brent 009,20.2,46.1,445,20.78025478,20.3,28.5,16.1,50.2,120.5,-1.681362472399829,7.7
E02000102,Brent 010,25.7,49.8,322,31.98458574,21.9,31.0,14.9,23.8,142.6,-1.839343249558446,11.0
E02000103,Brent 011,22.3,46.8,443,25.51020408,24.4,23.7,15.6,22.3,111.7,-1.898960506076898,6.9
E02000104,Brent 012,18.3,40.8,369,19.31216931,14.3,21.7,17.1,29.8,98.8,-1.609547475433447,8.3
E02000105,Brent 013,17.2,40.7,412,18.11352254,15.3,31.2,12.9,29.8,120.9,-1.976888105771125,8.6
E02000106,Brent 014,22.7,55.3,464,24.62462462,22.3,32.6,13.6,55.3,134.8,-1.787460329255921,10.6
E02000107,Brent 015,15.9,46.1,841,17.46724891,18.1,34.2,12.8,26.1,116.6,-1.681480133053646,6.4
E02000108,Brent 016,17.9,45.1,306,20.97560976,12.2,27.6,14.5,22.1,130.2,-2.081696265908417,9.1
E02000109,Brent 017,18.9,44.4,457,23.69584439,14.9,33.1,14.7,43.1,119.0,-1.834535236495536,8.3
E02000110,Brent 018,15.1,45.1,629,20.50970874,15.9,24.8,13.7,21.9,99.6,-1.741770915461545,5.6
E02000111,Brent 019,20.0,43.8,412,17.72575251,12.8,35.9,15.4,25.1,111.7,-1.973811335927794,11.1
E02000112,Brent 020,20.3,41.2,473,17.99610895,15.7,34.1,14.8,22.2,126.2,-1.996904963746197,11.2
E02000113,Brent 021,26.3,51.9,271,28.13536828,30.5,36.1,16.6,38.7,152.7,-1.47594320628117,8.1
E02000114,Brent 022,15.3,45.3,710,19.18976546,20.9,35.4,12.1,24.5,85.6,-1.614008434429667,6.9
E02000115,Brent 023,12.9,41.5,874,16.13333333,20.2,35.0,14.9,15.5,118.2,-1.061061823096432,4.5
E02000116,Brent 024,21.8,45.2,383,18.61313869,24.1,40.0,14.2,37.1,148.3,-1.124162747944417,9.4
E02000117,Brent 025,25.3,46.4,360,24.93043962,27.4,36.3,16.3,42.5,134.3,-1.598953577317158,9.1
E02000118,Brent 026,22.7,45.3,388,17.44855967,12.0,34.0,14.7,23,109.5,-2.276141658714632,13.8
E02000119,Brent 027,25.4,47.2,229,28.71467639,24.2,31.8,16.4,29.4,164.3,-1.380373059261718,6.8
E02000120,Brent 028,13.0,45.8,1041,14.00233372,20.8,32.2,12.7,16.3,108.0,-0.9872767827521798,3.5
E02000121,Brent 029,21.6,52.2,384,14.79400749,14.1,34.8,14.3,21.8,118.5,-2.235222999103471,14.6
E02000122,Brent 030,16.0,38.1,704,21.19914347,13.3,18.7,14.1,21.5,99.8,-1.604802559635995,3.8
E02000123,Brent 031,22.5,49.0,709,19.94177584,23.6,38.7,14.0,26.4,139.0,-1.638227599709052,10.0
E02000124,Brent 032,12.3,41.2,1195,15.85040071,14.3,25.9,11.2,17.2,105.9,-1.355315871528741,3.4
E02000125,Brent 033,17.6,42.9,879,15.09881423,15.0,23.2,13.1,24.5,93.6,-1.461877700747451,5.3
E02000126,Brent 034,22.4,47.9,359,25.0,32.7,38.5,17.2,42.1,143.8,-0.510729084521327,5.1
E02000127,Bromley 001,27.8,53.2,463,15.24590164,29.0,10.9,19.5,44.4,87.7,-0.6153279828391975,1.0
E02000128,Bromley 002,18.1,38.8,586,11.08786611,10.0,4.7,14.3,41.6,73.1,-1.297588699232356,0.5
E02000130,Bromley 004,14.8,34.7,573,16.35094716,13.3,12.1,13.7,69.6,83.8,-1.155791203745545,1.7
E02000131,Bromley 005,13.3,45.4,649,13.24324324,22.4,22.0,12.8,32.4,81.6,-1.062193773968238,1.9
E02000132,Bromley 006,14.1,49.8,814,9.213759214,17.0,12.7,14.6,30.9,79.1,-1.19497230227976,1.1
E02000133,Bromley 007,11.7,34.3,1146,13.88646288,6.5,3.0,14.5,34.3,60.2,-1.526045903837023,0.3
E02000134,Bromley 008,15.0,41.7,908,9.42408377,13.5,12.5,14.7,60.5,98.6,-1.199232610843395,1.1
E02000135,Bromley 009,22.7,49.0,435,15.44217687,31.2,26.0,17.6,73.3,129.7,-0.68499917390091,2.5
E02000136,Bromley 010,23.8,55.6,391,17.27272727,17.4,7.9,19.8,23.1,75.5,-0.979956786636994,0.8
E02000137,Bromley 011,13.0,39.2,657,13.47926267,6.7,6.4,14.4,43.7,73.9,-1.016835003286732,0.8
E02000138,Bromley 012,11.6,28.4,781,11.27717391,4.9,6.4,14.5,36.5,67.4,-1.190466098496255,0.7
E02000139,Bromley 013,14.0,36.1,598,11.06427819,7.3,8.6,12.3,48.2,72.7,-1.129950938890853,0.9
E02000140,Bromley 014,32.1,53.8,346,21.40522876,31.6,11.7,19.4,72.7,117.6,-0.568632624578394,1.1
E02000141,Bromley 015,16.7,38.1,449,14.36170213,13.4,11.0,13.3,44.1,89.2,-1.030254434551997,1.3
E02000142,Bromley 016,14.8,36.9,721,15.55959964,6.4,6.2,13.8,52.1,74.4,-1.183621863237469,0.7
E02000144,Bromley 018,10.5,31.5,782,11.48587056,7.0,9.2,11.5,22.9,69.7,-1.232251864608098,0.9
E02000145,Bromley 019,30.4,55.7,366,19.41594317,31.1,12.4,17.3,88.6,112.9,-0.999635301907672,1.1
E02000146,Bromley 020,16.6,19.4,582,11.88380282,6.3,8.5,14.7,35.8,67.6,-1.559349628335252,0.4
E02000147,Bromley 021,11.6,26.1,654,19.52965235,4.4,3.4,13.0,40.8,64.2,-1.263387655817306,0.4
E02000148,Bromley 022,15.2,29.2,530,14.1509434,4.9,3.7,13.8,29.6,70.5,-1.540144299361144,0.4
E02000149,Bromley 023,25.4,47.5,445,14.24581006,24.6,8.0,17.0,64.6,85.6,-0.9261494318629846,0.8
E02000150,Bromley 024,17.4,30.1,599,15.67291312,6.1,3.7,13.5,55.2,70.3,-1.118471024752815,0.6
E02000151,Bromley 025,15.5,25.9,631,11.02863203,3.4,1.7,13.9,24.1,68.6,-1.70849135481815,0.4
E02000152,Bromley 026,25.7,51.5,348,18.73684211,20.5,9.0,18.1,55.9,84.3,-1.155901400927387,0.9
E02000153,Bromley 027,15.5,19.9,544,15.43498597,4.3,2.0,11.8,33.7,60.0,-1.209683715244938,0.2
E02000154,Bromley 028,16.7,39.9,616,14.59183673,10.0,7.6,14.4,56.2,66.8,-1.033859986827026,0.7
E02000155,Bromley 029,27.1,26.0,384,15.83220568,15.5,4.7,19.5,42.6,92.1,-0.9054364157298056,0.5
E02000156,Bromley 030,15.8,21.7,843,15.0390625,4.5,5.6,14.8,35.6,77.6,-1.274440998364466,0.4
E02000157,Bromley 031,14.9,22.9,499,15.47131148,3.6,3.2,15.2,18.3,68.2,-1.275043431469778,0.4
E02000158,Bromley 032,22.1,55.5,396,22.04806688,23.4,5.6,17.2,36.7,82.1,-1.055698602111345,0.7
E02000159,Bromley 033,16.6,33.3,585,17.01346389,6.0,2.3,14.2,34,76.5,-1.429202949101486,0.2
E02000160,Bromley 034,16.1,25.3,642,16.60039761,5.2,4.6,13.8,51.6,73.2,-1.006929714145325,0.4
E02000161,Bromley 035,16.2,23.8,571,14.49407475,3.8,2.4,13.5,22.4,68.8,-1.310968843889674,0.3
E02000162,Bromley 036,23.4,32.2,428,13.60381862,10.4,6.9,17.4,60.5,79.1,-1.155036835702455,0.4
E02000163,Bromley 037,16.8,25.9,631,15.23394995,7.7,2.9,14.0,56.9,77.4,-1.32463711229433,0.2
E02000165,Bromley 039,17.4,24.7,528,15.82417582,9.9,3.8,11.6,39.2,69.5,-1.462594541232355,0.1
E02000166,Camden 001,13.2,49.4,758,16.18303571,15.4,18.2,16.7,66.4,92.0,-0.7888554747782861,1.6
E02000167,Camden 002,5.5,31.9,1431,15.71753986,3.1,15.8,10.5,40.5,47.8,-1.431979930759696,1.0
E02000168,Camden 003,12.4,47.7,871,15.27777778,14.1,27.3,14.9,32.3,87.9,-0.7569446126047732,1.8
E02000169,Camden 004,6.7,38.4,1178,20.75919336,3.6,13.4,9.8,17.6,35.9,-1.400587600396053,1.3
E02000170,Camden 005,7.6,37.3,1124,12.03369434,11.4,28.9,11.0,46.5,61.6,-1.603427927660396,2.0
E02000171,Camden 006,10.1,53.3,1048,16.37831603,14.6,24.5,13.7,29,75.7,-1.034728463843772,1.7
E02000172,Camden 007,22.3,60.8,633,20.94370861,29.6,37.3,19.8,42.6,128.8,-0.6383509320556334,4.4
E02000173,Camden 008,6.0,44.0,1433,15.09433962,5.7,28.9,10.8,25.3,59.8,-1.463236449791211,1.7
E02000174,Camden 009,14.5,50.8,821,17.34693878,23.0,35.4,15.3,30.5,92.2,-0.7412699525218505,3.3
E02000175,Camden 010,8.6,48.1,1423,13.18537859,16.4,31.7,11.8,30.2,77.8,-1.334187471818906,2.3
E02000176,Camden 011,5.4,31.9,1304,11.28205128,3.1,26.1,9.8,45,58.9,-1.380709040064888,1.4
E02000177,Camden 012,19.1,59.3,814,22.13279678,28.0,32.8,18.5,39.5,131.0,-0.7716675494839528,3.9
E02000178,Camden 013,14.4,50.9,1033,18.08118081,28.5,35.8,16.9,32.8,101.7,-0.8660487436052475,3.6
E02000179,Camden 014,11.6,58.7,852,18.90166028,17.9,29.4,12.3,27.1,76.1,-1.189551710503621,2.8
E02000180,Camden 015,13.4,45.9,715,20.52631579,23.8,35.1,14.0,34.7,93.9,-0.8411955886966388,3.7
E02000181,Camden 016,6.5,59.0,1432,11.25356125,14.4,22.3,10.2,25.1,62.2,-1.501304795615892,1.4
E02000182,Camden 017,11.9,59.5,901,19.33774834,14.6,24.6,13.5,24.9,69.2,-1.416134941387602,4.2
E02000183,Camden 018,11.4,53.3,1254,19.37984496,14.9,31.3,14.4,47.2,95.1,-1.105401508887819,1.7
E02000184,Camden 019,17.3,54.4,558,21.67755991,32.1,37.7,16.5,36.5,130.2,-0.7782351512517416,4.6
E02000185,Camden 020,18.6,57.6,641,21.74381055,28.5,38.9,18.9,31.8,108.5,-0.8588811539088995,4.5
E02000186,Camden 021,12.6,51.6,809,16.95906433,21.7,39.4,14.8,38.9,126.7,-0.7681672383273236,3.7
E02000187,Camden 022,25.4,58.3,338,26.54508612,30.7,37.8,19.7,35.3,138.3,-0.630738610856838,7.2
E02000188,Camden 023,20.0,46.3,332,27.10059172,28.0,41.1,16.4,29.3,140.4,-0.6366764184505984,6.6
E02000189,Camden 024,15.4,42.2,337,40.98073555,20.9,47.6,13.9,22.1,121.1,-0.9208745692621998,6.5
E02000190,Camden 025,11.8,36.9,489,25.88726514,20.8,43.8,15.5,28.2,101.6,-1.550286299908912,3.9
E02000191,Camden 026,5.8,28.7,710,26.4084507,13.7,46.4,9.6,22.9,88.2,-1.816633725862309,2.9
E02000192,Camden 027,16.0,58.3,871,22.09302326,25.1,38.2,16.8,34.8,113.2,-1.140272317738452,4.6
E02000193,Camden 028,8.3,45.5,1001,14.16893733,17.4,43.8,13.7,28.9,78.5,-1.112917592275564,2.4
E02000194,Croydon 001,13.5,38.2,577,13.60136869,19.6,20.6,13.5,44.9,84.6,-1.33633775964314,2.0
E02000195,Croydon 002,15.5,39.3,594,16.83501684,12.4,10.5,13.7,29.3,66.3,-1.695066953192029,2.9
E02000196,Croydon 003,18.8,40.8,405,20.98501071,16.8,17.6,15.6,25.7,87.3,-1.555915766387478,5.1
E02000197,Croydon 004,16.4,48.6,444,19.88906498,14.8,17.8,14.6,27.3,99.5,-1.703254149436983,5.5
E02000198,Croydon 005,19.7,42.9,338,18.57585139,23.0,20.3,13.7,67.2,95.8,-1.605413196717264,3.1
E02000199,Croydon 006,16.0,35.6,368,18.62891207,17.7,16.3,12.3,28.7,88.3,-1.776501955728562,2.7
E02000200,Croydon 007,16.3,48.0,450,13.61665221,20.3,23.4,14.6,42.5,85.9,-0.8094309932627529,2.0
E02000201,Croydon 008,17.7,44.6,361,14.1329259,25.6,27.6,15.2,31.2,93.2,-1.039204153845635,2.4
E02000202,Croydon 009,17.5,37.5,369,19.79166667,15.2,16.4,14.0,34.4,82.6,-1.571936375126068,5.0
E02000203,Croydon 010,19.1,41.5,342,17.52096925,20.0,25.8,15.1,69.6,110.3,-0.7550286875343719,4.1
E02000204,Croydon 011,17.2,43.3,386,22.59541985,15.8,19.4,14.3,34,81.6,-1.708889776569646,4.8
E02000206,Croydon 013,19.2,43.3,333,17.7704918,25.9,25.2,15.4,53.2,104.8,-1.267207405337498,3.2
E02000207,Croydon 014,18.6,45.9,389,19.13875598,22.5,20.4,14.8,77.1,94.0,-1.242735066284644,1.9
E02000208,Croydon 015,19.6,49.9,362,15.2173913,27.4,33.6,14.8,84.6,119.0,-0.9061266454747182,5.0
E02000209,Croydon 016,18.4,44.5,319,20.08639309,19.2,20.3,12.9,55.4,85.2,-1.988228528081418,5.6
E02000210,Croydon 017,16.3,36.1,420,14.57990115,16.7,12.5,12.1,40.1,74.2,-1.45782342501108,2.0
E02000211,Croydon 018,18.4,27.1,525,12.8600823,9.7,6.7,15.1,32.1,71.5,-1.752388684892366,1.0
E02000212,Croydon 019,21.0,46.4,293,18.77256318,20.8,26.2,12.8,58.3,92.3,-1.418678399831693,5.8
E02000213,Croydon 020,17.9,54.7,372,14.45864156,25.7,34.7,15.9,70.1,144.1,-1.426575511175401,4.8
E02000214,Croydon 021,15.1,30.7,407,15.72164948,9.7,7.6,14.3,36.9,68.7,-1.572597826230384,1.5
E02000215,Croydon 022,15.0,52.9,690,10.56845476,17.1,24.5,14.9,51.2,112.3,-1.577075611087929,3.3
E02000216,Croydon 023,11.9,44.3,501,10.83437111,6.8,12.2,15.9,13.3,69.2,-1.571245566186181,2.3
E02000217,Croydon 024,16.4,51.5,565,13.17280453,21.0,22.9,12.9,51.2,79.6,-1.691996007874677,3.0
E02000218,Croydon 025,19.5,48.9,257,20.77067669,26.9,13.8,14.1,45.2,77.4,-1.624788691185207,2.3
E02000219,Croydon 026,16.7,29.6,555,14.47212337,8.7,2.8,16.5,36,65.1,-1.869744551275304,1.1
E02000220,Croydon 027,13.3,37.8,703,8.21799308,19.4,30.6,14.6,58.7,107.8,-0.9802988723952228,3.1
E02000221,Croydon 028,21.2,48.3,469,18.21835231,24.2,17.7,16.4,50.7,93.7,-1.194520920507015,3.1
E02000222,Croydon 029,12.1,40.1,597,11.21593291,10.4,15.5,12.7,24.6,67.9,-1.464062678162794,1.5
E02000223,Croydon 030,33.4,53.3,226,24.98418722,33.6,20.5,16.5,58.9,95.6,-1.388480968624894,1.6
E02000224,Croydon 031,12.2,45.8,589,12.01550388,12.4,16.8,12.0,49.9,73.9,-1.467341995892165,1.5
E02000225,Croydon 032,33.3,50.0,305,24.83598875,26.9,10.8,17.6,58.6,89.6,-1.456988384078832,0.9
E02000226,Croydon 033,14.1,29.8,552,10.79545455,7.0,2.7,14.1,37.7,69.5,-1.710187178507422,0.9
E02000227,Croydon 034,18.5,35.6,677,14.15157612,18.8,7.4,14.7,47.4,73.1,-1.418385860503648,0.8
E02000228,Croydon 035,11.2,35.4,655,15.48022599,4.1,2.6,14.0,21.8,57.9,-1.547978894167939,0.8
E02000229,Croydon 036,37.7,52.2,211,22.4852071,30.9,16.0,20.4,64.9,122.1,-1.36910331582227,1.3
E02000230,Croydon 037,13.0,41.3,744,14.42542787,10.2,10.8,15.4,55.8,76.9,-1.106831456810792,1.3
E02000231,Croydon 038,12.7,38.1,756,16.20171674,5.0,4.5,14.7,38.3,58.7,-1.284768110477818,1.2
E02000232,Croydon 039,20.0,37.5,389,14.98079385,9.4,4.0,16.0,70.2,72.5,-1.447324849856372,0.8
E02000233,Croydon 040,15.8,40.6,396,14.61988304,11.4,7.1,14.5,42.5,69.9,-1.158616042575495,1.0
E02000234,Croydon 041,15.5,35.9,556,15.47729379,15.2,8.5,14.1,62.9,85.0,-1.263779887072468,0.9
E02000235,Croydon 042,14.2,40.7,560,13.63163371,9.6,5.2,12.8,42.4,71.0,-1.29951391770042,0.5
E02000236,Croydon 043,15.1,31.4,545,16.22678397,9.0,3.3,12.2,46.7,65.8,-1.559536760313,0.4
E02000237,Croydon 044,20.5,35.4,455,13.10043668,11.3,3.9,17.8,115,71.8,-0.935686977673249,0.5
E02000238,Ealing 001,18.9,45.3,525,17.65612953,15.7,20.7,13.0,54.3,113.5,-2.008421515778459,8.4
E02000239,Ealing 002,14.7,33.1,507,18.44380403,8.6,18.0,12.3,14.4,97.9,-1.921064095602174,8.6
E02000240,Ealing 003,23.4,52.7,454,19.1886671,23.7,23.7,15.3,54.5,153.3,-1.467327829006608,5.9
E02000241,Ealing 004,17.6,43.3,325,15.38461538,14.9,20.7,12.0,43.4,113.0,-1.714705673149866,6.6
E02000242,Ealing 005,17.8,45.6,358,20.14218009,11.2,23.6,13.5,39.2,133.8,-1.915817759037746,10.1
E02000243,Ealing 006,18.6,42.1,451,15.625,15.9,20.9,15.0,47.7,128.7,-1.391462183365136,8.2
E02000244,Ealing 007,16.1,41.0,510,17.62785637,15.3,19.0,12.6,28.5,129.7,-1.663041899757153,8.7
E02000245,Ealing 008,25.4,61.1,317,19.15384615,26.8,28.8,16.7,90.4,160.5,-1.044170695194034,6.4
E02000246,Ealing 009,25.9,48.9,333,25.0,21.4,23.5,15.6,41.6,129.4,-1.335982191824543,5.8
E02000247,Ealing 010,22.0,54.9,479,18.80286272,21.1,25.7,15.7,43.2,142.9,-1.145626876163028,6.6
E02000248,Ealing 011,11.2,55.5,571,15.88785047,16.1,22.8,12.3,40.4,104.3,-1.894119448629001,8.5
E02000249,Ealing 012,20.8,44.9,393,19.83556012,14.6,23.4,15.3,33.6,138.5,-1.490313896531749,8.3
E02000250,Ealing 013,6.9,24.8,650,13.64705882,4.0,9.3,11.8,35.4,82.8,-1.726019042451239,2.2
E02000251,Ealing 014,18.4,48.8,339,20.92793682,13.1,20.4,13.9,39.8,141.9,-1.717104094122802,8.8
E02000252,Ealing 015,16.3,53.6,627,18.51520572,28.4,36.5,13.7,38.1,116.7,-1.405607880438176,6.5
E02000253,Ealing 016,23.3,47.9,451,18.57651246,24.8,22.7,18.9,113.5,159.6,-1.133315799593389,7.1
E02000254,Ealing 017,20.5,49.6,341,20.856102,15.5,25.0,15.6,56.4,160.0,-1.620727422621319,10.3
E02000255,Ealing 018,12.5,50.8,702,19.31364725,18.3,20.6,13.3,53.2,111.1,-1.581928527261333,4.5
E02000256,Ealing 019,7.3,40.0,957,14.46808511,9.8,24.1,11.8,44,97.6,-1.292919289357943,3.6
E02000257,Ealing 020,7.6,45.2,1463,15.1372549,9.6,21.7,11.7,69,90.9,-1.281556276506215,5.4
E02000258,Ealing 021,13.0,52.1,526,19.13580247,14.5,23.7,12.1,18.4,122.9,-1.299825834287235,7.9
E02000259,Ealing 022,13.0,39.4,463,16.05504587,9.4,14.1,11.7,57.1,107.7,-1.518765845957157,5.2
E02000260,Ealing 023,21.7,52.4,320,21.65354331,15.3,28.1,17.6,33.4,145.9,-1.80202331350269,13.0
E02000261,Ealing 024,14.8,53.6,779,25.51781276,18.2,34.1,13.6,27.9,102.1,-1.502051280352741,6.5
E02000262,Ealing 025,14.8,42.0,720,18.75616979,18.1,30.0,14.6,35.2,125.6,-0.7443355978590124,6.1
E02000263,Ealing 026,24.1,55.6,346,23.07157748,16.4,32.5,17.3,54.9,192.4,-1.635524250416141,16.0
E02000264,Ealing 027,8.9,49.6,859,18.99371069,13.6,23.2,12.1,48.7,112.5,-1.27788038603023,5.0
E02000265,Ealing 028,14.7,50.0,843,15.41984733,18.6,26.4,14.1,95.8,149.5,-0.7556826119846521,4.9
E02000266,Ealing 029,24.0,55.0,399,27.32240437,24.7,34.2,19.4,95.3,144.3,-1.209058178056853,9.0
E02000267,Ealing 030,13.7,35.5,515,12.21621622,15.4,18.8,12.3,57.4,133.9,-1.51512372598971,5.4
E02000268,Ealing 031,12.9,48.6,940,14.88095238,11.8,17.5,13.3,56.2,111.4,-1.205253413409862,3.7
E02000269,Ealing 032,8.0,36.0,834,15.11017838,7.0,13.7,10.6,51.8,86.3,-1.203412603238739,3.0
E02000270,Ealing 033,19.7,57.8,441,24.66793169,27.5,33.7,16.2,51.7,151.7,-1.070162203113219,7.9
E02000271,Ealing 034,7.8,41.0,965,12.85189718,7.2,13.2,9.0,28.7,83.6,-1.666804963318008,2.0
E02000272,Ealing 035,11.3,33.0,561,13.52657005,7.3,9.2,12.2,47,101.0,-1.410297479277836,2.8
E02000274,Ealing 037,23.2,60.5,458,24.96924969,17.8,34.7,15.3,39.5,189.8,-2.117880240086542,14.9
E02000275,Ealing 038,22.8,60.5,287,19.11057692,19.4,29.7,18.9,66.1,151.9,-1.397219800032533,12.9
E02000276,Ealing 039,9.0,36.2,617,11.54345006,8.1,14.1,10.0,48.2,104.6,-1.178742583684943,2.8
E02000277,Enfield 001,27.7,58.1,319,17.02755906,22.5,14.1,15.7,22.1,82.7,-1.508707765813147,5.0
E02000278,Enfield 002,32.4,62.0,282,23.27402135,32.6,19.8,17.9,31.8,101.3,-1.397160422248146,6.6
E02000279,Enfield 003,24.8,61.0,519,21.11702128,31.6,20.0,13.7,44.1,98.4,-1.295124728104471,6.2
E02000280,Enfield 004,21.5,50.8,520,15.32599492,18.1,11.0,15.9,48.9,91.8,-1.177608426260488,2.2
E02000281,Enfield 005,23.3,58.7,439,14.6539028,22.9,18.7,15.9,36,92.6,-1.103855219520039,3.9
E02000282,Enfield 006,32.4,63.9,296,20.8281054,33.3,24.5,16.1,30.5,111.3,-1.810523084197405,8.7
E02000283,Enfield 007,28.3,56.5,325,25.75406032,28.7,15.8,14.9,26.8,99.9,-2.04750055156422,5.5
E02000284,Enfield 008,18.1,46.4,540,12.37209302,14.8,11.9,15.0,34.3,99.4,-1.173310445061591,1.5
E02000285,Enfield 009,17.9,38.6,402,15.14124294,10.3,4.9,14.1,39.3,83.9,-1.415791457171992,1.7
E02000286,Enfield 010,17.4,35.7,645,9.7799511,14.6,12.5,16.5,41.2,95.2,-1.011220301605675,1.3
E02000287,Enfield 011,17.8,45.7,614,15.72739187,9.9,9.0,15.4,28.8,78.5,-1.73123118126035,2.4
E02000288,Enfield 012,27.7,57.5,390,22.21514959,26.5,24.1,16.0,31.6,106.1,-1.386203186331439,7.6
E02000289,Enfield 013,17.8,37.1,408,14.4057623,10.1,3.5,15.2,35.9,83.6,-1.411960137563038,1.7
E02000290,Enfield 014,29.7,57.0,236,17.11851278,27.9,28.5,15.0,26.6,112.8,-1.579830668919156,8.8
E02000291,Enfield 015,21.3,54.8,541,14.03212172,21.8,20.2,15.9,24.3,92.1,-1.583969166397726,3.8
E02000292,Enfield 016,22.0,47.1,458,15.89928058,18.3,11.2,13.9,51,91.8,-1.741565892707593,3.7
E02000293,Enfield 017,15.8,41.2,565,16.40826873,6.4,4.8,14.2,30.5,73.0,-1.495391077452086,1.3
E02000294,Enfield 018,27.8,56.3,256,25.25814138,25.2,17.8,16.0,23.2,99.8,-1.367768883477938,7.5
E02000295,Enfield 019,17.0,41.6,600,14.06945681,12.0,11.5,15.2,36.4,89.5,-1.438613491935345,3.2
E02000296,Enfield 020,19.0,51.5,618,14.19529837,17.0,17.3,16.0,29.5,88.8,-2.054137365553822,4.7
E02000297,Enfield 021,19.0,34.4,630,14.75256769,9.1,7.5,14.8,22.1,87.3,-1.620952684884896,2.8
E02000298,Enfield 022,14.3,28.0,760,16.77083333,6.4,8.4,12.8,34.6,76.9,-1.367777144162606,2.0
E02000299,Enfield 023,28.6,50.9,310,23.9546421,27.4,26.0,15.8,30.7,107.2,-1.237873969299454,8.6
E02000300,Enfield 024,24.8,55.1,254,22.41238794,27.1,23.1,14.4,40.3,100.3,-1.739549499526035,8.1
E02000301,Enfield 025,29.6,52.9,288,20.8358209,30.2,26.9,16.2,40.1,112.2,-1.329382063807165,9.6
E02000302,Enfield 026,22.7,38.7,493,17.72853186,13.4,14.6,16.4,43.3,98.8,-1.609644481062785,4.8
E02000303,Enfield 027,31.3,59.3,269,24.37357631,29.0,28.7,18.2,42.8,113.7,-1.866994952789893,8.7
E02000304,Enfield 028,13.7,30.8,715,14.32958035,6.9,8.2,13.9,N/A - not available,72.6,-1.920422262574367,2.6
E02000305,Enfield 029,15.4,34.2,683,11.6097561,12.7,18.9,13.6,42.3,105.0,-1.479367276686595,4.7
E02000306,Enfield 030,31.7,58.2,213,23.43647136,31.7,32.6,16.9,51.4,121.6,-1.546674799224485,10.1
E02000307,Enfield 031,25.6,53.5,381,20.54317549,23.1,17.2,14.7,29.8,81.3,-2.190523218036456,8.8
E02000308,Enfield 032,17.8,54.5,466,15.78947368,18.6,17.6,15.7,44.7,101.9,-1.373929231927226,5.9
E02000309,Enfield 033,27.1,54.3,300,21.83976261,29.0,29.9,14.3,28.7,107.6,-1.76257594284463,10.1
E02000311,Enfield 035,22.6,46.7,477,17.10825132,23.5,20.6,16.2,25.2,93.2,-1.72377134675906,8.3
E02000312,Enfield 036,14.4,39.1,735,10.9947644,16.7,25.9,13.8,42.7,90.3,-1.631984360264285,6.2
E02000313,Greenwich 001,23.5,49.5,275,24.4140625,26.7,25.9,14.1,41.1,107.4,-1.692940923189957,3.0
E02000314,Greenwich 002,16.2,50.1,575,21.26410835,19.4,26.5,10.6,39.6,91.3,-1.756059772694968,3.2
E02000315,Greenwich 003,27.9,53.6,328,24.75862069,29.3,20.9,16.8,36,105.0,-1.411330500860122,2.2
E02000316,Greenwich 004,16.1,49.2,954,17.21854305,21.8,33.3,12.2,28.3,93.1,-1.354975215663141,3.8
E02000317,Greenwich 005,25.3,55.8,270,21.95488722,25.6,28.2,16.5,44.6,120.9,-1.274544018459475,4.9
E02000318,Greenwich 006,21.4,47.9,408,21.98049512,18.8,28.2,14.0,36.2,118.4,-1.81155477501716,6.8
E02000319,Greenwich 007,18.8,46.7,518,18.27309237,19.9,27.1,13.0,17.8,104.8,-1.651564626706791,5.2
E02000320,Greenwich 008,21.8,47.3,299,17.95121951,18.5,15.6,15.3,56.1,86.4,-1.812003491675798,2.4
E02000321,Greenwich 009,25.4,52.2,324,19.25287356,26.6,26.4,16.9,44.8,112.5,-1.581568403195729,4.9
E02000323,Greenwich 011,22.8,47.4,460,22.0952381,25.7,32.5,14.3,45.7,119.9,-1.545295104004134,6.5
E02000324,Greenwich 012,25.5,51.7,353,22.2,22.7,20.4,19.4,46.2,113.4,-1.040335065962641,3.6
E02000326,Greenwich 014,16.0,51.6,539,14.82254697,17.6,13.2,13.5,42.3,112.1,-1.205506109018828,2.9
E02000327,Greenwich 015,20.1,53.6,568,26.46775746,25.3,25.6,13.1,45.6,120.1,-1.342103244366957,4.5
E02000328,Greenwich 016,14.7,41.4,743,14.05184175,11.2,17.0,16.0,31.6,80.6,-1.272025710828802,1.2
E02000329,Greenwich 017,23.5,39.6,298,16.87344913,15.8,12.4,17.0,62.7,98.7,-1.775668969827914,2.0
E02000331,Greenwich 019,22.9,52.1,487,18.04435484,26.3,19.9,16.9,57.2,107.0,-1.138056245505081,2.5
E02000332,Greenwich 020,16.0,42.4,480,16.5961945,15.3,11.6,14.1,29.5,85.0,-1.522033466940668,1.6
