Code,Msoa_name,education_no qualifications,lone_parent_unemployed,work_49hr_more,families_with_3plus_kids,child_poverty,overcrowded_houses,limiting_long-term_illness_disability,self_harm_hospital_admission,hospital_admission_associated_with_alcohol,samhi_index.2011,population_cannot_speak_english
E02000746,Newham 033,19.6,44.3,291,17.34795613,20.4,31.2,15.0,79.6,106.2,-1.410435132208716,6.8
E02000747,Newham 034,20.9,52.0,822,24.55985915,26.9,42.1,13.6,29.3,88.4,-1.202523434542386,4.4
E02000748,Newham 035,17.4,40.1,335,14.05919662,15.2,29.9,11.7,31.8,105.0,-1.683287190454658,8.4
E02000749,Newham 036,28.9,46.5,298,23.72204473,27.4,29.6,16.4,38.4,143.7,-0.9567348198021992,5.1
E02000750,Newham 037,14.1,46.7,900,18.96678967,21.8,31.4,9.1,44,86.2,-1.631624538710028,3.9
E02000751,Redbridge 001,15.0,26.3,1069,16.31445478,4.4,5.6,14.9,35.3,66.1,-1.572988418875864,0.8
E02000752,Redbridge 002,31.2,50.5,313,18.47715736,23.3,14.0,21.8,36.7,104.3,-1.415008453050125,2.0
E02000753,Redbridge 003,26.4,48.1,317,17.34357849,18.8,10.9,18.9,45.6,87.2,-1.73559109532888,2.7
E02000754,Redbridge 004,18.9,47.1,448,14.75595914,12.0,9.4,14.3,31,75.0,-1.616889911163163,2.1
E02000755,Redbridge 005,21.1,39.1,334,11.75656985,12.1,8.6,15.2,24.4,70.1,-1.902710442496268,1.3
E02000756,Redbridge 006,21.2,48.7,802,15.33180778,11.9,10.1,15.4,25.5,77.3,-1.651303183052177,2.6
E02000757,Redbridge 007,12.3,39.5,1186,13.13347609,7.3,14.8,12.1,25.6,64.1,-1.355010197779983,1.1
E02000758,Redbridge 008,23.1,44.5,293,20.66326531,13.6,11.5,17.1,20.1,74.0,-1.666593719183182,3.2
E02000759,Redbridge 009,15.9,39.4,881,15.97908193,12.6,13.1,12.3,23.9,66.2,-1.566326059764792,2.8
E02000760,Redbridge 010,23.6,52.6,384,15.97151577,16.9,13.2,16.8,28.9,72.5,-1.584868591258292,3.2
E02000762,Redbridge 012,17.2,39.7,336,19.12144703,8.4,10.5,16.6,18.8,72.7,-2.030301223369652,3.8
E02000763,Redbridge 013,19.6,42.8,344,20.54108216,11.6,14.9,15.6,26.6,73.2,-1.918136766477424,4.1
E02000764,Redbridge 014,14.9,34.8,1229,12.16640502,7.4,11.1,16.3,28.8,77.6,-1.060284619810624,1.6
E02000765,Redbridge 015,17.2,42.3,305,19.6239718,9.0,16.0,15.1,23.8,76.0,-2.090333015942839,4.8
E02000767,Redbridge 017,19.6,43.1,371,18.77890842,10.2,18.3,15.5,17.3,69.6,-1.62774662164609,4.0
E02000768,Redbridge 018,13.8,25.2,556,15.39528433,5.2,8.1,13.4,32.4,70.0,-1.381955185054459,1.4
E02000769,Redbridge 019,18.5,49.7,640,19.14311759,16.0,14.9,13.9,20.2,70.7,-1.942870881247572,3.4
E02000770,Redbridge 020,17.6,43.7,350,25.94296228,11.8,21.6,14.2,27.7,84.1,-1.72593824000086,5.9
E02000772,Redbridge 022,18.3,57.0,363,21.95540309,13.4,24.1,14.4,39.2,85.3,-1.847313740222152,6.4
E02000773,Redbridge 023,17.3,50.6,382,23.10418143,14.6,23.9,12.8,25.8,78.3,-1.851134070433411,6.0
E02000774,Redbridge 024,18.5,63.7,272,23.64380757,15.4,23.2,14.3,15.6,90.8,-1.601408373597289,7.9
E02000776,Redbridge 026,16.2,54.9,312,25.02818489,13.0,21.8,14.0,19.3,67.3,-1.773435952963724,6.2
E02000777,Redbridge 027,16.4,35.6,512,15.05944518,10.3,10.5,16.2,45.6,100.7,-1.091659052282796,2.1
E02000779,Redbridge 029,16.9,53.2,332,15.4772141,17.3,37.4,13.7,43.8,101.4,-1.456637533796329,7.1
E02000780,Redbridge 030,18.6,64.9,502,27.04252269,16.4,32.5,13.3,27.3,109.4,-1.196274271291005,8.9
E02000781,Redbridge 031,20.5,42.9,588,26.2605042,15.8,15.7,14.8,31.4,82.1,-1.97086081819687,5.9
E02000782,Redbridge 032,19.8,66.0,271,26.55571635,22.4,37.4,14.4,27.4,89.0,-1.896486872687645,9.8
E02000783,Redbridge 033,20.5,67.6,217,27.71599658,22.3,29.2,14.7,29.8,93.5,-2.09446040409867,8.2
E02000784,Richmond upon Thames 001,9.1,42.1,1463,19.18335901,6.5,9.8,11.1,38.4,71.5,-1.472363053629206,0.9
E02000785,Richmond upon Thames 002,5.8,34.0,1370,13.15789474,3.1,8.9,9.9,56.4,60.9,-2.219863292866389,0.9
E02000786,Richmond upon Thames 003,9.8,39.1,1546,13.55072464,8.1,10.1,10.4,50.4,70.9,-1.600759299855448,0.8
E02000787,Richmond upon Thames 004,11.6,43.9,1293,14.24354244,9.3,13.1,11.5,124.6,92.8,-1.902370969714009,1.6
E02000788,Richmond upon Thames 005,7.6,29.9,1148,14.15174766,3.8,9.9,9.7,37.4,59.5,-1.829801543822782,0.9
E02000789,Richmond upon Thames 006,8.8,33.9,927,15.83452211,6.9,12.2,10.9,57.2,70.2,-1.624596769214717,1.1
E02000790,Richmond upon Thames 007,5.4,29.4,896,13.3938706,3.1,7.1,7.4,23,66.5,-2.000413415226241,0.5
E02000791,Richmond upon Thames 008,5.1,31.2,1075,11.32404181,2.5,13.4,8.9,28.9,50.7,-2.049301457626557,0.7
E02000792,Richmond upon Thames 009,6.4,37.0,1037,15.64102564,2.6,11.8,10.7,43.7,53.9,-1.993813965357492,0.9
E02000793,Richmond upon Thames 010,16.8,39.4,566,14.63654224,10.2,10.4,14.4,58.7,110.3,-1.521913571121365,1.8
E02000794,Richmond upon Thames 011,10.4,31.8,716,14.03091558,3.3,6.8,10.7,62.8,99.9,-2.348344375546505,0.9
E02000795,Richmond upon Thames 012,9.3,35.5,824,21.16040956,3.7,4.7,11.0,59.7,57.7,-1.656070850961717,0.7
E02000796,Richmond upon Thames 013,20.4,47.6,572,17.00581395,15.5,11.9,15.3,119.3,104.5,-1.702273123977495,2.5
E02000797,Richmond upon Thames 014,6.4,35.9,953,8.8639201,4.3,12.4,8.1,55.6,97.3,-2.488739163552252,0.8
E02000798,Richmond upon Thames 015,13.4,27.7,948,11.78861789,7.1,7.7,12.0,55.9,101.2,-2.158613070177272,1.3
E02000799,Richmond upon Thames 016,6.2,32.0,694,15.63342318,3.5,8.0,8.9,93.8,68.6,-2.312062790901717,0.4
E02000800,Richmond upon Thames 017,17.3,44.6,338,16.20029455,16.0,10.2,14.9,83,85.6,-1.276368705677159,1.3
E02000801,Richmond upon Thames 018,7.9,25.9,753,11.62255466,5.0,8.3,8.7,83.2,76.8,-2.135797640712688,0.5
E02000802,Richmond upon Thames 019,11.4,23.9,701,13.23692992,7.3,9.7,13.0,109.4,87.3,-1.496401319392097,0.7
E02000803,Richmond upon Thames 020,17.6,40.8,688,13.21695761,14.5,10.5,15.6,92.6,122.9,-1.949086277941127,1.4
E02000804,Richmond upon Thames 021,8.4,26.8,805,14.23611111,4.4,9.8,11.8,77.4,89.2,-1.950924476346676,0.5
E02000805,Richmond upon Thames 022,10.0,43.0,1069,14.46776612,7.6,12.3,12.3,84.6,78.5,-1.31044011417716,0.9
E02000806,Richmond upon Thames 023,12.5,39.1,917,11.28165771,6.6,8.1,13.0,131.5,77.2,-2.138347219342489,0.6
E02000807,Southwark 001,10.0,41.7,1251,8.947368421,14.6,21.1,9.1,32.7,86.5,-1.570293955835144,1.4
E02000808,Southwark 002,10.8,47.8,1483,15.05016722,27.7,35.3,11.3,67.8,120.7,-1.169873908956354,1.7
E02000809,Southwark 003,6.4,49.3,3238,10.82802548,22.7,30.2,6.7,32,66.3,-2.054922978381438,1.1
E02000810,Southwark 004,19.8,52.7,878,16.85499058,30.4,32.9,14.5,59.7,125.5,-1.313288410936668,2.5
E02000812,Southwark 006,14.4,44.4,1111,16.51560926,30.5,36.0,13.6,51.3,151.5,-1.50668079192036,2.3
E02000813,Southwark 007,20.7,51.4,647,18.21705426,30.5,31.3,14.7,59.2,125.3,-1.289881901843379,3.2
E02000814,Southwark 008,10.8,39.5,1173,11.27717391,20.5,25.6,9.9,28.8,80.3,-1.480387331063072,2.2
E02000815,Southwark 009,9.6,40.6,747,17.67955801,26.5,37.1,9.0,47.7,93.3,-1.61182841047745,3.6
E02000816,Southwark 010,23.8,49.7,606,15.59714795,28.7,29.2,15.4,75.9,130.3,-1.277650746146683,2.9
E02000817,Southwark 011,29.9,52.6,325,15.38461538,31.9,28.1,20.4,90.2,212.6,-1.175408187929848,3.9
E02000818,Southwark 012,21.4,40.0,503,18.56060606,28.5,32.4,16.2,84.5,142.0,-1.249194288796501,3.9
E02000819,Southwark 013,20.9,48.3,455,19.3236715,28.1,34.3,15.5,74.9,140.8,-1.300518227977622,4.2
E02000820,Southwark 014,17.0,45.4,697,19.39799331,26.1,34.8,14.1,88,133.1,-1.5311380229111,3.5
E02000821,Southwark 015,22.6,43.7,343,22.13868003,35.7,34.5,14.6,51,127.7,-1.1723954353176,6.0
E02000822,Southwark 016,21.7,45.9,382,19.84126984,29.8,36.5,14.5,41.3,113.4,-1.395201080393052,5.5
E02000823,Southwark 017,19.2,44.1,514,19.02113459,28.4,30.1,15.0,30.3,100.5,-1.548326772324736,4.7
E02000824,Southwark 018,22.0,47.7,327,25.61750176,29.5,35.9,14.9,38.6,134.1,-1.684976889853664,4.4
E02000825,Southwark 019,19.6,46.0,430,21.05943152,28.9,43.2,13.8,32.1,92.3,-1.686228887033091,4.7
E02000826,Southwark 020,17.8,38.2,490,20.44247788,26.8,33.5,13.7,38.5,80.6,-1.756668414765544,4.3
E02000827,Southwark 021,19.0,37.1,571,19.44240646,23.3,36.6,14.2,54.8,109.6,-1.599289125465469,4.8
E02000828,Southwark 022,20.4,50.6,395,20.39586919,28.9,36.1,15.3,37.8,104.5,-1.805945138471682,5.5
