Code,Msoa_name,education_no qualifications,lone_parent_unemployed,work_49hr_more,families_with_3plus_kids,limiting_long-term_illness_disability,samhi_index.2011,population_cannot_speak_english
E02000468,Havering 005,30.4,47.0,419,17.5204918,18.1,-0.9423694423752456,0.6
E02000469,Havering 006,33.7,46.9,284,19.14153132,21.6,-0.8064230248431119,1.3
E02000470,Havering 007,24.5,34.3,515,11.86046512,18.0,-2.112396322999413,0.4
E02000471,Havering 008,26.5,35.5,443,15.14778325,16.5,-1.623502604750243,0.4
E02000472,Havering 009,25.9,35.0,483,14.05975395,16.7,-1.311787448582915,0.5
E02000473,Havering 010,23.1,34.7,642,14.77462437,15.1,-2.546108975544157,0.4
E02000474,Havering 011,28.7,50.6,428,15.34246575,17.2,-1.505129783825113,0.6
E02000475,Havering 012,19.3,47.7,766,12.73584906,14.8,-1.94104869259428,0.5
E02000476,Havering 013,22.6,55.9,590,12.85855589,16.5,-1.829468263065892,1.6
E02000477,Havering 014,20.7,29.9,677,15.20737327,15.0,-2.232275011890648,0.5
E02000478,Havering 015,23.0,24.1,544,18.4991274,16.0,-2.219421179761209,0.9
E02000479,Havering 016,21.9,40.1,490,12.20703125,15.2,-1.905888030363851,1.6
E02000480,Havering 017,25.1,43.8,520,15.1026393,15.2,-2.151222343016869,1.5
E02000481,Havering 018,27.1,29.2,447,11.51776103,19.7,-1.548436790832976,0.4
E02000482,Havering 019,17.3,41.1,507,16.11111111,16.2,-1.780739714846495,0.3
E02000483,Havering 020,26.8,35.4,471,11.83162685,19.1,-2.083739920536905,0.6
E02000484,Havering 021,24.1,31.5,557,12.79296875,15.9,-1.599122467436344,0.6
E02000485,Havering 022,22.6,33.6,522,13.27885598,16.4,-1.939011650768301,0.5
E02000486,Havering 023,25.8,34.3,415,15.59405941,17.1,-1.900876815484129,0.7
E02000487,Havering 024,17.2,21.5,632,14.67268623,15.0,-1.870668614619297,0.2
E02000488,Havering 025,24.9,32.4,411,12.20379147,16.2,-1.966937980659638,0.5
E02000489,Havering 026,27.3,46.4,374,17.25571726,18.3,-1.844278917276778,0.9
E02000490,Havering 027,33.1,38.9,357,16.77148847,18.8,-1.997562223468897,0.6
E02000491,Havering 028,32.1,51.6,435,19.82832618,18.3,-1.877360310632735,1.0
E02000492,Havering 029,31.6,32.5,353,14.80406386,17.7,-2.419533469282275,0.4
E02000493,Havering 030,27.8,51.7,308,16.21621622,15.3,-2.00908185880986,1.2
E02000494,Hillingdon 001,13.1,39.5,669,13.22115385,14.5,-1.364448870697483,1.3
E02000495,Hillingdon 002,15.9,41.6,731,10.65502183,15.8,-1.12578479951722,2.0
E02000496,Hillingdon 003,23.8,40.1,524,14.07982262,17.6,-1.30036489305992,0.7
E02000497,Hillingdon 004,16.7,34.4,599,14.18439716,15.1,-1.268233755412944,1.3
E02000498,Hillingdon 005,18.9,29.4,417,14.49864499,15.5,-1.256379176833004,0.5
E02000499,Hillingdon 006,14.4,26.0,500,16.06382979,14.0,-1.368089930860797,1.2
E02000500,Hillingdon 007,13.3,35.0,635,16.29802095,14.1,-1.051066380639927,1.1
E02000501,Hillingdon 008,16.6,32.8,513,12.63636364,13.8,-1.098277376539719,0.8
E02000502,Hillingdon 009,16.6,31.7,533,14.98993964,14.0,-1.089660757868023,1.3
E02000503,Hillingdon 010,15.7,30.3,669,12.48937978,11.5,-1.368291883032904,1.1
E02000504,Hillingdon 011,14.8,19.4,530,15.00547645,14.4,-1.545451122512984,0.7
E02000506,Hillingdon 013,15.0,36.7,617,15.78313253,14.9,-1.315861842047621,1.1
E02000507,Hillingdon 014,16.9,38.5,434,16.70973299,12.9,-1.547139874284578,1.5
