Code,Msoa_name,lone_parent_unemployed,families_with_3plus_kids,population_cannot_speak_english,Limiting_long-term_illness_disability,education_no qualifications,work_49hr_more
E02000182,Camden 017,59.5,19.33774834,4.2,13.5,11.9,901
E02000183,Camden 018,53.3,19.37984496,1.7,14.4,11.4,1254
E02000184,Camden 019,54.4,21.67755991,4.6,16.5,17.3,558
E02000185,Camden 020,57.6,21.74381055,4.5,18.9,18.6,641
E02000186,Camden 021,51.6,16.95906433,3.7,14.8,12.6,809
E02000187,Camden 022,58.3,26.54508612,7.2,19.7,25.4,338
E02000188,Camden 023,46.3,27.10059172,6.6,16.4,20.0,332
E02000189,Camden 024,42.2,40.98073555,6.5,13.9,15.4,337
E02000190,Camden 025,36.9,25.88726514,3.9,15.5,11.8,489
E02000191,Camden 026,28.7,26.4084507,2.9,9.6,5.8,710
E02000192,Camden 027,58.3,22.09302326,4.6,16.8,16.0,871
E02000193,Camden 028,45.5,14.16893733,2.4,13.7,8.3,1001
E02000194,Croydon 001,38.2,13.60136869,2.0,13.5,13.5,577
E02000195,Croydon 002,39.3,16.83501684,2.9,13.7,15.5,594
E02000196,Croydon 003,40.8,20.98501071,5.1,15.6,18.8,405
E02000197,Croydon 004,48.6,19.88906498,5.5,14.6,16.4,444
E02000198,Croydon 005,42.9,18.57585139,3.1,13.7,19.7,338
E02000199,Croydon 006,35.6,18.62891207,2.7,12.3,16.0,368
E02000200,Croydon 007,48.0,13.61665221,2.0,14.6,16.3,450
E02000201,Croydon 008,44.6,14.1329259,2.4,15.2,17.7,361
E02000202,Croydon 009,37.5,19.79166667,5.0,14.0,17.5,369
E02000203,Croydon 010,41.5,17.52096925,4.1,15.1,19.1,342
E02000204,Croydon 011,43.3,22.59541985,4.8,14.3,17.2,386
E02000206,Croydon 013,43.3,17.7704918,3.2,15.4,19.2,333
E02000207,Croydon 014,45.9,19.13875598,1.9,14.8,18.6,389
E02000208,Croydon 015,49.9,15.2173913,5.0,14.8,19.6,362
E02000209,Croydon 016,44.5,20.08639309,5.6,12.9,18.4,319
E02000210,Croydon 017,36.1,14.57990115,2.0,12.1,16.3,420
E02000211,Croydon 018,27.1,12.8600823,1.0,15.1,18.4,525
E02000212,Croydon 019,46.4,18.77256318,5.8,12.8,21.0,293
E02000213,Croydon 020,54.7,14.45864156,4.8,15.9,17.9,372
