Code,obesity_pre_teen,samhi_index.2011
E02000045,0.21212121212121213,-1.4746359662697797
E02000046,0.13380281690140844,-1.6370978277188404
E02000047,0.2512690355329949,-1.2367880138868133
E02000048,0.14342629482071714,-1.543159908316859
E02000049,0.28405797101449276,-1.4475779341386774
E02000050,0.2,-1.4980984210698562
E02000051,0.13114754098360656,-1.9122849292161717
E02000052,0.16748768472906403,-1.4073535642527073
E02000053,0.23737373737373738,-1.8198032806713011
E02000054,0.22857142857142856,-1.7091211766498329
E02000055,0.17180616740088106,-1.4430010750052962
E02000056,0.11267605633802817,-1.7018192550744917
E02000057,0.15384615384615385,-1.7835128719644497
E02000058,0.14847161572052403,-1.997542645093424
E02000059,0.18699186991869918,-1.4853017314186832
E02000060,0.14743589743589744,-1.846666444733041
E02000061,0.0851063829787234,-1.72630753606227
E02000062,0.19895287958115182,-1.63590586455298
E02000063,0.1907514450867052,-1.5249101284757498
E02000064,0.18032786885245902,-1.6727688206724192
E02000065,0.2756756756756757,-1.7016972760108238
E02000066,0.26520681265206814,-1.6950135464629912
E02000067,0.26605504587155965,-1.8717493034107795
E02000068,0.2902097902097902,-1.8514393486827203
E02000069,0.34065934065934067,-1.6890143175618406
E02000070,0.22317596566523606,-1.8381916819660566
E02000071,0.2491349480968858,-1.6593036885747519
E02000072,0.23093681917211328,-1.4537292670949804
E02000073,0.23134328358208955,-1.660627150532627
E02000074,0.28205128205128205,-1.0531810603459975
E02000075,0.19047619047619047,-1.6549897672572178
E02000077,0.22972972972972974,-1.560999392883836
E02000078,0.21774193548387097,-1.5266075440974416
E02000079,0.12690355329949238,-0.8319384021873863
E02000080,0.2565789473684211,-1.6969556602588798
E02000081,0.273542600896861,-1.155521423366244
E02000082,0.22142857142857142,-1.7673969902951248
E02000083,0.18404907975460122,-1.3888124112541709
E02000084,0.155893536121673,-1.5395370088936646
E02000085,0.19696969696969696,-1.8902245621738436
E02000086,0.20465116279069767,-1.9321686249901158
E02000087,0.14349775784753363,-2.0927197697998055
E02000088,0.20869565217391303,-1.884226828313073
E02000089,0.18007662835249041,-1.4760198126045603
E02000090,0.15789473684210525,-1.1600282888725804
E02000091,0.2081447963800905,-1.0525322639115957
E02000092,0.28217821782178215,-1.4094774370713887
E02006785,0.24257425742574257,-1.5485432653262086
E02000093,0.20723684210526316,-1.9171885636766264
E02000094,0.2357142857142857,-1.9710873701822427
E02000095,0.23214285714285715,-1.9560499464601189
E02000096,0.1853932584269663,-2.1031304389911902
E02000097,0.22972972972972974,-2.1558018595973136
E02000098,0.25,-1.611836356553333
E02000099,0.23648648648648649,-2.22427357243382
E02000100,0.21524663677130046,-2.2701203117452944
E02000101,0.26223776223776224,-1.699401702897195
E02000102,0.21652421652421652,-1.786671155782457
E02000103,0.21921921921921922,-1.8449222456988115
E02000104,0.2413793103448276,-1.6439004234782821
E02000105,0.23628691983122363,-1.9936299792749843
E02000106,0.30434782608695654,-1.7956342467468933
E02000107,0.1981981981981982,-1.677174554896186
E02000108,0.24186046511627907,-2.0678500682989553
E02000109,0.2746478873239437,-1.8411063032947417
E02000110,0.23333333333333334,-1.735054538066827
E02000111,0.22039473684210525,-2.0697737498779247
E02000112,0.25830258302583026,-1.97404967050798
E02000113,0.27403846153846156,-1.492760720569288
E02000114,0.27751196172248804,-1.6264784525700375
E02000115,0.2900763358778626,-1.0399921547781044
E02000116,0.24,-1.1385998711406013
E02000117,0.28270042194092826,-1.5853143315573663
E02000118,0.19375,-2.238595393762371
E02000119,0.25308641975308643,-1.4317551649750648
E02000120,0.2054794520547945,-1.0076404759211148
E02000121,0.18412698412698414,-2.2420862642876047
E02000122,0.20418848167539266,-1.6075105755719818
E02000123,0.310546875,-1.5732186598013438
E02000124,0.1782178217821782,-1.3697285065122877
E02000125,0.18218623481781376,-1.4618632530648685
E02000126,0.2833333333333333,-0.7847438319991366
E02000127,0.23270440251572327,-0.6099773534094737
E02000128,0.14864864864864866,-1.2945904131319923
E02000130,0.2107843137254902,-1.1202601827982006
E02000131,0.24324324324324326,-1.0658540146186921
E02000132,0.16071428571428573,-1.1809781850652779
E02000133,0.13548387096774195,-1.5573861454452962
E02000134,0.12105263157894737,-1.0875081576878225
E02000135,0.27884615384615385,-0.6335908547687962
E02000136,0.15789473684210525,-0.9757060356430479
E02000137,0.1271186440677966,-1.0984224314071653
E02000138,0.11214953271028037,-1.1829032521396787
E02000139,0.14705882352941177,-1.16006545629997
E02000140,0.21036585365853658,-0.5607466337007502
E02000141,0.21978021978021978,-1.0434913038454892
E02000142,0.1145374449339207,-1.1965279122553472
E02000144,0.18579234972677597,-1.3102334586335822
E02000145,0.24333333333333335,-0.9646289991429435
E02000146,0.17903930131004367,-1.5599358982206215
E02000147,0.11068702290076336,-1.2611109936748615
E02000148,0.10909090909090909,-1.51868988354761
E02000149,0.19305019305019305,-0.9557827201077184
E02000150,0.13804713804713806,-1.0833113456465793
E02000151,0.0915032679738562,-1.7220381946464745
E02000152,0.14583333333333334,-1.1908856403241201
E02000153,0.10932475884244373,-1.2081927773014922
E02000154,0.11224489795918367,-1.1063463280182428
E02000155,0.18888888888888888,-0.9016697520557442
E02000156,0.13387978142076504,-1.2700569116646423
E02000157,0.13309352517985612,-1.2748704396562927
E02000158,0.20973782771535582,-1.075561294045022
